Aaro,1954.8,58.05493204907201,5.35,1,0,1,3,10,2055.6,Jesper,1332.9,Jussi,9,6,0,1,10.413027017725003,6.626465201465201,Riku,7 - 0,Juho,28 - 21,Jussi,65
Juho,1885.5,53.0,-5.8,2,0,1,2,10,1999.8,Aaro,1274.9,Jussi,6,3,1,1,9.590572742474917,7.895652173913044,Riku,8 - 0,Aaro,21 - 28,Aaro,49
Jesper,1642.8,77.1,-60.33,3,0,1,3,4,1939.6,Juho,1770.7,Aaro,0,0,2,0,8.263440860215052,9.774441687344913,Riku,4 - 0,Aaro,1 - 4,Juho,22
Matias,1480.4,174.17952319172701,1.71,4,0,3,5,2,1616.6,Aaro,1582.3,Aaro,0,2,1,0,8.346938775510205,7.428571428571429,Tuomas,1 - 0,Juho,0 - 1,Aaro,4
Samuel,1444.3,119.38981513152693,2.51,5,0,4,7,0,1463.0,Elias,1253.8,Elias,0,0,2,1,6.0,9.737254901960783,Elias,6 - 4,Aaro,0 - 7,Elias,10
Jussi,1443.5,103.41107392043565,2.91,6,0,4,6,0,1989.0,Aaro,1800.7,Juho,0,0,7,3,5.672813487881982,10.85662100456621,Juho,1 - 7,Aaro,3 - 62,Aaro,65
Elias,1395.3,121.88128632870665,2.46,7,0,6,7,0,1619.8,Samuel,1406.7,Samuel,0,0,1,1,6.913725490196079,9.764705882352942,Samuel,4 - 6,Aaro,0 - 7,Samuel,10
Riku,1227.2,141.41028666971044,2.11,8,0,4,8,10,1500.0,Tuomas,1131.6,Tuomas,0,0,1,3,5.680769230769231,10.63905325443787,Tuomas,4 - 2,Juho,0 - 8,Juho,8
Tuomas,1178.6,158.08790687240239,1.89,9,0,4,9,6,1357.5,Riku,1223.9,Riku,1,0,1,1,6.225961538461538,10.0,Riku,2 - 4,Aaro,0 - 5,Riku,6
